Name,E-mail,Trade Name,Registration No.,Telephone,Address,Exchange Name,Validity
1 FINANCE PRIVATE LIMITED,compliance@1finance.co.in,Compliance,INZ000307430,02817174000,"MARAWADI FINANCIAL PLAZA, NANA MAVA ROAD, OFF 150 FEET RING ROAD,",BOMBAY STOCK EXCHANGE LIMITED,"Jun 09, 2022 - Perpetual"
123 CAPITALS,123capitals@gmail.com,123capitals,INZ000209921,9104294220302,"NO.112,E4,ELDORADO BUILDING, NUNGAMBAKKAM HIGH ROAD",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 20, 2013 - Perpetual"
4A SECURITIES LIMITED,amitkumae.4agroup@gmail.com,Amitkumae.4agroup,INZ000246535,9101149002226,"109,DLF TOWER-A JASOLA VIHAR",BOMBAY STOCK EXCHANGE LIMITED,"Apr 10, 2012 - Perpetual"
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,acashare@gmail.com,Acashare,INZ000216930,9101412729073,"S-5,AMBA BARI,JAIPUR",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jan 13, 2009 - Perpetual"
A SWAMINATHAN,pla.swaminathan@gmail.com,Pla.swaminathan,INZ000173014,04522633111,33 II FLOOR LANDMARK MUTHUS MEDICKAL AGENCIES PREMISES NORTH KRISHNAN KOVIL STREET,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 28, 2018 - Perpetual"
A&G STOCK BROKING & CO,angstockbroking@gmail.com,Angstockbroking,INZ000305026,9102178530376655,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",NSE Clearing Limited,"Mar 07, 2022 - Perpetual"
A. C. CHOKSI SHARE BROKERS PVT. LTD.,compliance@acchoksi.com,Compliance,INZ000198136,9102222044000,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",BOMBAY STOCK EXCHANGE LIMITED,"Jan 13, 1998 - Perpetual"
A. K. EQUITIES PVT. LTD.,avinash.bhadoria@crest.co.in,Avinash.bhadoria,INZ000239939,9102261402500,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",BOMBAY STOCK EXCHANGE LIMITED,"Sep 15, 2003 - Perpetual"
A. K. STOCKMART PRIVATE LIMITED,stockmart@akgroup.co.in,Stockmart,INZ000240830,9102267546500,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",BOMBAY STOCK EXCHANGE LIMITED,"Jun 14, 2006 - Perpetual"
A. N. SECURITIES,abhishek1993jain@gmail.com,Abhishek1993jain,INZ000292027,919910156233,"A-16,SURAJMAL VIHAR,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jan 18, 2011 - Perpetual"
A.A.DOSHI SHARE & STOCK BROKERS LIMITED,info@aadoshi.in,Info,INZ000212336,9102222721086,"R-711, ROTUNDA BUILDING BOMBAY SAMACHAR MARG, FORT",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Oct 12, 1994 - Perpetual"
A.G. SHARES & SECURITIES LTD.,ajayagarwal@agssl.in,Ajayagarwal,INZ000169733,009319155002,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Nov 22, 1995 - Perpetual"
A.P.T. RESEARCH PRIVATE LIMITED,accounts@aptportfolio.com,Accounts,INZ000194330,0919990214232,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jun 18, 2010 - Perpetual"
A.S. STOCK BROKING & MANAGEMENT PVT. LTD.,asstock@rediffmail.com,Asstock,INZ000252739,9102228676040,"SHREYAS , BUNGALOW NO 70-74,NEAR GORAI BRIDGE BUS STOP, GORAI LINK ROAD, BORIVALI(W)",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Oct 15, 2004 - Perpetual"
AARNIK SECURITIES PVT. LTD.,aarniksec@yahoo.co.in,Aarniksec,INZ000291038,9102222088750,"509,DALAMAL CHAMBERS 29,NEW MARINE LINES",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 27, 2000 - Perpetual"
AASMAA SECURITIES PRIVATE LIMITED,manik@aasmaasecurities.com,Manik,INZ000164336,9104068108807,"6-3-906/B, 2ND FLOOR SOMAJIKUDA",METROPOLITAN STOCK EXCHANGE,"Jul 26, 2012 - Perpetual"
ABANS SECURITIES PRIVATE LIMITED,shifa.kazi@abans.com,Shifa.kazi,INZ000194431,02261790000,"FLOOR 3,36,37,38 A,NARIMAN BHAVAN NARIMAN POINT,MUMBAI",NSE Clearing Limited,"Aug 22, 2014 - Perpetual"
ABBOTT WEALTH MANAGEMENT LIMITED,parthasarathi.addya@gmail.com,Parthasarathi.addya,INZ000310834,00003340041043,"3rd Floor, Room no. 320 7, Grant Lane",BOMBAY STOCK EXCHANGE LIMITED,"Jan 12, 2023 - Perpetual"
ABHINANDAN STOCK BROKING PRIVATE LIMITED,nirmal@abhinandangroup.com,Nirmal,INZ000202134,9103365351037,"95,3RD FLOOR,SARAT BOSE ROAD",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Mar 22, 2011 - Perpetual"
ABHIPRA CAPITAL LTD.,-info@abhipra.com,-info,INZ000285230,9101123414629,"GF-58-59,WORLD TRADE CENTRE,BARAKHAMBA LANE",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Oct 19, 1995 - Perpetual"
